auction_id,market_number,market_name,market_population,bidding_units,small_market_indicator
107,PEA126,"Casa Grande, AZ",475024,1400,Y
107,PEA127,"Evansville, IN",474251,1400,Y
107,PEA128,"Macon, GA",472241,1400,Y
107,PEA129,"Springfield, IL",471823,1400,Y
107,PEA130,"Spokane, WA",471221,1400,Y
107,PEA131,"Sanford, NC",468358,1400,Y
107,PEA132,"Corpus Christi, TX",467429,1400,Y
107,PEA133,"Nacogdoches, TX",464704,1400,Y
107,PEA134,"Newark, OH",463800,1400,Y
107,PEA135,"Beaumont, TX",460666,1400,Y
107,PEA136,"Williamsport, PA",454792,1400,Y
107,PEA137,"Eau Claire, WI",452434,1400,Y
107,PEA138,"Burlington, VT",452191,1400,Y
107,PEA139,"Hot Springs, AR",443880,1300,Y
107,PEA140,"Fredericksburg, VA",438705,1300,Y
107,PEA141,"Brainerd, MN",435203,1300,Y
107,PEA142,"Merced, CA",430256,1300,Y
107,PEA143,"Keene, NH",427275,1300,Y
107,PEA144,"Paris, TX",423195,1300,Y
107,PEA145,"Columbia, TN",422947,1300,Y
107,PEA146,"Wilmington, NC",420413,1300,Y
107,PEA147,"Salisbury, MD",419355,1300,Y
107,PEA148,"Bellingham, WA",412316,1200,Y
107,PEA149,"Biloxi, MS",411066,1200,Y
107,PEA150,"Rolla, MO",405037,1200,Y
107,PEA151,"Winston-Salem, NC",398071,1200,Y
107,PEA152,"Tyler, TX",397075,1200,Y
107,PEA153,"Fond du Lac, WI",395357,1200,Y
107,PEA154,"Myrtle Beach, SC",394573,1200,Y
107,PEA155,"Appleton, WI",392660,1200,Y
107,PEA156,"Boise City, ID",392365,1200,Y
107,PEA157,"Yuma, AZ",390768,1200,Y
107,PEA158,"Helena, MT",378009,1100,Y
107,PEA159,"Valdosta, GA",373343,1100,Y
107,PEA160,"Victoria, TX",371551,1100,Y
107,PEA161,"Carbondale, IL",368043,1100,Y
107,PEA162,"Elizabethtown, KY",364517,1100,Y
107,PEA163,"Davenport, IA",363256,1100,Y
107,PEA164,"Montgomery, AL",363237,1100,Y
107,PEA165,"Rome, GA",362053,1100,Y
107,PEA166,"Redding, CA",361652,1100,Y
107,PEA167,"Harrisonburg, VA",360886,1100,Y
107,PEA168,"Peoria, IL",360552,1100,Y
107,PEA169,"Goldsboro, NC",358900,1100,Y
107,PEA170,"Dothan, AL",358396,1100,Y
107,PEA171,"Fort Smith, AR",356101,1100,Y
107,PEA172,"Duluth, MN",354182,1100,Y
107,PEA173,"Blacksburg, VA",352838,1100,Y
107,PEA174,"Springfield, MO",352596,1100,Y
107,PEA175,"Southaven, MS",349748,1000,Y
107,PEA176,"Ames, IA",348248,1000,Y
107,PEA177,"Savannah, GA",347611,1000,Y
107,PEA178,"Sedalia, MO",346580,1000,Y
107,PEA179,"Burlington, IA",346354,1000,Y
107,PEA180,"Flagstaff, AZ",345454,1000,Y
107,PEA181,"Texarkana, TX",343206,1000,Y
107,PEA182,"Cedar Rapids, IA",342108,1000,Y
107,PEA183,"Columbia, MO",340194,1000,Y
107,PEA184,"Ruston, LA",338416,1000,Y
107,PEA185,"Marquette, MI",335871,1000,Y
107,PEA186,"Rock Hill, SC",335865,1000,Y
107,PEA187,"Pocatello, ID",328567,990,Y
107,PEA188,"Jamestown, NY",325075,980,Y
107,PEA189,"Alexandria, LA",324637,970,Y
