auction_id,frn,bidder_name,market_number,eligible_market
107,0028676666,"8538 Green Street LLC",PEA119,Y
107,0028676666,"8538 Green Street LLC",PEA120,Y
107,0028676666,"8538 Green Street LLC",PEA121,Y
107,0028676666,"8538 Green Street LLC",PEA122,Y
107,0028676666,"8538 Green Street LLC",PEA123,Y
107,0028676666,"8538 Green Street LLC",PEA124,Y
107,0028676666,"8538 Green Street LLC",PEA125,Y
107,0028676666,"8538 Green Street LLC",PEA126,Y
107,0028676666,"8538 Green Street LLC",PEA127,Y
107,0028676666,"8538 Green Street LLC",PEA128,Y
107,0028676666,"8538 Green Street LLC",PEA129,Y
107,0028676666,"8538 Green Street LLC",PEA130,Y
107,0028676666,"8538 Green Street LLC",PEA131,Y
107,0028676666,"8538 Green Street LLC",PEA132,Y
107,0028676666,"8538 Green Street LLC",PEA133,Y
107,0028676666,"8538 Green Street LLC",PEA134,Y
107,0028676666,"8538 Green Street LLC",PEA135,Y
107,0028676666,"8538 Green Street LLC",PEA136,Y
107,0028676666,"8538 Green Street LLC",PEA137,Y
107,0028676666,"8538 Green Street LLC",PEA138,Y
107,0028676666,"8538 Green Street LLC",PEA139,Y
107,0028676666,"8538 Green Street LLC",PEA140,Y
107,0028676666,"8538 Green Street LLC",PEA141,Y
107,0028676666,"8538 Green Street LLC",PEA142,Y
107,0028676666,"8538 Green Street LLC",PEA143,Y
107,0028676666,"8538 Green Street LLC",PEA144,Y
107,0028676666,"8538 Green Street LLC",PEA145,Y
107,0028676666,"8538 Green Street LLC",PEA146,Y
107,0028676666,"8538 Green Street LLC",PEA147,Y
107,0028676666,"8538 Green Street LLC",PEA148,Y
107,0028676666,"8538 Green Street LLC",PEA149,Y
107,0028676666,"8538 Green Street LLC",PEA150,Y
107,0028676666,"8538 Green Street LLC",PEA151,Y
107,0028676666,"8538 Green Street LLC",PEA152,Y
107,0028676666,"8538 Green Street LLC",PEA153,Y
107,0028676666,"8538 Green Street LLC",PEA154,Y
107,0028676666,"8538 Green Street LLC",PEA155,Y
107,0028676666,"8538 Green Street LLC",PEA156,Y
107,0028676666,"8538 Green Street LLC",PEA157,Y
107,0028676666,"8538 Green Street LLC",PEA158,Y
107,0028676666,"8538 Green Street LLC",PEA159,Y
107,0028676666,"8538 Green Street LLC",PEA160,Y
107,0028676666,"8538 Green Street LLC",PEA161,Y
107,0028676666,"8538 Green Street LLC",PEA162,Y
107,0028676666,"8538 Green Street LLC",PEA163,Y
107,0028676666,"8538 Green Street LLC",PEA164,Y
107,0028676666,"8538 Green Street LLC",PEA165,Y
107,0028676666,"8538 Green Street LLC",PEA166,Y
107,0028676666,"8538 Green Street LLC",PEA167,Y
107,0028676666,"8538 Green Street LLC",PEA168,Y
107,0028676666,"8538 Green Street LLC",PEA169,Y
107,0028676666,"8538 Green Street LLC",PEA170,Y
107,0028676666,"8538 Green Street LLC",PEA171,Y
